id,churn_probability
69999,1
70000,1
70001,1
70002,1
70003,1
70004,0
70005,1
70006,1
70007,1
70008,1
70009,1
70010,1
70011,0
70012,1
70013,0
70014,0
70015,1
70016,1
70017,1
70018,1
70019,0
70020,1
70021,0
70022,1
70023,0
70024,1
70025,0
70026,1
70027,0
70028,0
70029,0
70030,1
70031,1
70032,1
70033,1
70034,1
70035,1
70036,1
70037,0
70038,1
70039,1
70040,1
70041,1
70042,1
70043,1
70044,1
70045,0
70046,1
70047,1
70048,1
70049,1
70050,1
70051,1
70052,1
70053,1
70054,1
70055,1
70056,1
70057,1
70058,0
70059,0
70060,1
70061,1
70062,0
70063,1
70064,1
70065,1
70066,1
70067,1
70068,1
70069,1
70070,1
70071,1
70072,1
70073,0
70074,1
70075,1
70076,1
70077,1
70078,0
70079,1
70080,1
70081,0
70082,1
70083,1
70084,1
70085,0
70086,1
70087,1
70088,0
70089,1
70090,1
70091,1
70092,1
70093,1
70094,1
70095,0
70096,1
70097,0
70098,1
70099,0
70100,0
70101,1
70102,1
70103,1
70104,1
70105,1
70106,1
70107,1
70108,1
70109,1
70110,0
70111,0
70112,1
70113,0
70114,0
70115,1
70116,1
70117,1
70118,1
70119,0
70120,1
70121,1
70122,0
70123,1
70124,1
70125,1
70126,1
70127,1
70128,1
70129,1
70130,1
70131,0
70132,1
70133,1
70134,1
70135,1
70136,1
70137,0
70138,1
70139,1
70140,1
70141,1
70142,1
70143,1
70144,1
70145,1
70146,1
70147,0
70148,1
70149,1
70150,1
70151,1
70152,1
70153,1
70154,1
70155,1
70156,1
70157,1
70158,1
70159,1
70160,1
70161,1
70162,1
70163,1
70164,1
70165,1
70166,0
70167,1
70168,1
70169,1
70170,1
70171,1
70172,0
70173,1
70174,1
70175,1
70176,1
70177,1
70178,1
70179,1
70180,1
70181,1
70182,1
70183,1
70184,0
70185,1
70186,1
70187,1
70188,1
70189,1
70190,1
70191,0
70192,0
70193,1
70194,1
70195,1
70196,1
70197,1
70198,1
70199,0
70200,1
70201,1
70202,1
70203,1
70204,1
70205,1
70206,1
70207,1
70208,0
70209,1
70210,1
70211,1
70212,1
70213,0
70214,0
70215,1
70216,1
70217,1
70218,1
70219,0
70220,1
70221,1
70222,1
70223,1
70224,1
70225,1
70226,1
70227,1
70228,1
70229,1
70230,0
70231,1
70232,1
70233,0
70234,1
70235,1
70236,1
70237,1
70238,1
70239,1
70240,1
70241,1
70242,0
70243,1
70244,1
70245,1
70246,1
70247,0
70248,1
70249,1
70250,0
70251,0
70252,1
70253,1
70254,1
70255,1
70256,1
70257,1
70258,1
70259,1
70260,1
70261,1
70262,1
70263,1
70264,1
70265,1
70266,0
70267,1
70268,1
70269,1
70270,1
70271,1
70272,1
70273,1
70274,1
70275,1
70276,1
70277,1
70278,0
70279,0
70280,1
70281,1
70282,1
70283,1
70284,1
70285,1
70286,1
70287,1
70288,0
70289,1
70290,1
70291,1
70292,1
70293,1
70294,1
70295,1
70296,1
70297,0
70298,1
70299,0
70300,1
70301,1
70302,1
70303,1
70304,0
70305,0
70306,1
70307,1
70308,1
70309,1
70310,1
70311,1
70312,1
70313,1
70314,1
70315,1
70316,1
70317,0
70318,1
70319,1
70320,1
70321,1
70322,1
70323,0
70324,1
70325,1
70326,1
70327,1
70328,1
70329,0
70330,1
70331,1
70332,1
70333,1
70334,1
70335,0
70336,1
70337,0
70338,1
70339,1
70340,0
70341,1
70342,0
70343,0
70344,1
70345,0
70346,1
70347,1
70348,0
70349,1
70350,0
70351,1
70352,1
70353,1
70354,1
70355,1
70356,1
70357,1
70358,1
70359,1
70360,1
70361,1
70362,1
70363,1
70364,1
70365,1
70366,1
70367,0
70368,0
70369,1
70370,1
70371,1
70372,1
70373,1
70374,1
70375,1
70376,1
70377,0
70378,1
70379,1
70380,1
70381,1
70382,0
