id,churn_probability
69999,0
70000,0
70001,0
70002,1
70003,0
70004,1
70005,0
70006,0
70007,0
70008,1
70009,0
70010,0
70011,0
70012,0
70013,0
70014,0
70015,0
70016,1
70017,0
70018,1
70019,0
70020,1
70021,0
70022,0
70023,0
70024,1
70025,0
70026,0
70027,0
70028,0
70029,0
70030,1
70031,0
70032,1
70033,0
70034,0
70035,1
70036,0
70037,0
70038,0
70039,1
70040,0
70041,1
70042,0
70043,0
70044,0
70045,0
70046,1
70047,0
70048,0
70049,1
70050,0
70051,0
70052,1
70053,0
70054,0
70055,0
70056,0
70057,1
70058,0
70059,0
70060,0
70061,0
70062,0
70063,0
70064,0
70065,0
70066,0
70067,0
70068,1
70069,1
70070,0
70071,1
70072,0
70073,1
70074,0
70075,0
70076,1
70077,0
70078,1
70079,0
70080,0
70081,1
70082,0
70083,0
70084,0
70085,1
70086,0
70087,0
70088,0
70089,0
70090,0
70091,1
70092,0
70093,0
70094,0
70095,1
70096,0
70097,0
70098,1
70099,1
70100,0
70101,1
70102,0
70103,1
70104,0
70105,0
70106,0
70107,1
70108,1
70109,0
70110,0
70111,1
70112,0
70113,1
70114,0
70115,1
70116,1
70117,0
70118,1
70119,0
70120,0
70121,0
70122,0
70123,1
70124,1
70125,0
70126,0
70127,1
70128,0
70129,0
70130,1
70131,0
70132,0
70133,0
70134,0
70135,0
70136,0
70137,0
70138,0
70139,1
70140,0
70141,0
70142,0
70143,0
70144,0
70145,0
70146,0
70147,0
70148,1
70149,0
70150,0
70151,0
70152,1
70153,1
70154,0
70155,1
70156,0
70157,1
70158,0
70159,0
70160,0
70161,1
70162,1
70163,1
70164,0
70165,0
70166,0
70167,1
70168,1
70169,0
70170,1
70171,1
70172,0
70173,0
70174,1
70175,0
70176,0
70177,1
70178,1
70179,1
70180,1
70181,0
70182,0
70183,0
70184,1
70185,0
70186,0
70187,0
70188,0
70189,0
70190,0
70191,1
70192,1
70193,1
70194,0
70195,0
70196,0
70197,0
70198,0
70199,0
70200,1
70201,0
70202,0
70203,0
70204,1
70205,1
70206,0
70207,0
70208,1
70209,0
70210,0
70211,0
70212,0
70213,0
70214,0
70215,0
70216,0
70217,0
70218,0
70219,0
70220,1
70221,1
70222,0
70223,0
70224,0
70225,1
70226,1
70227,1
70228,0
70229,1
70230,0
70231,1
70232,1
70233,1
70234,1
70235,0
70236,0
70237,1
70238,0
70239,0
70240,0
70241,1
70242,0
70243,1
70244,1
70245,0
70246,0
70247,0
70248,1
70249,0
70250,0
70251,0
70252,0
70253,0
70254,1
70255,0
70256,0
70257,0
70258,0
70259,0
70260,0
70261,0
70262,0
70263,1
70264,1
70265,1
70266,0
70267,0
70268,0
70269,1
70270,0
70271,1
70272,1
70273,0
70274,0
70275,1
70276,1
70277,0
70278,0
70279,0
70280,0
70281,0
70282,1
70283,1
70284,1
70285,1
70286,1
70287,0
70288,0
70289,0
70290,0
70291,0
70292,0
70293,0
70294,0
70295,0
70296,0
70297,0
70298,0
70299,0
70300,1
70301,0
70302,1
70303,0
70304,1
70305,0
70306,0
70307,0
70308,0
70309,1
70310,0
70311,0
70312,0
70313,0
70314,0
70315,0
70316,0
70317,0
70318,1
70319,0
70320,1
70321,0
70322,0
70323,0
70324,0
70325,0
70326,0
70327,1
70328,1
70329,0
70330,0
70331,0
70332,1
70333,0
70334,0
70335,0
70336,0
70337,0
70338,1
70339,0
70340,0
70341,0
70342,0
70343,0
70344,0
70345,0
70346,0
70347,0
70348,0
70349,1
70350,1
70351,0
70352,0
70353,1
70354,1
70355,0
70356,0
70357,0
70358,0
70359,0
70360,0
70361,1
70362,1
70363,0
70364,0
70365,1
70366,0
70367,0
70368,1
70369,0
70370,0
70371,1
70372,0
70373,0
70374,0
70375,1
70376,0
70377,0
70378,0
70379,0
70380,1
70381,0
70382,0
70383,1
70384,0
70385,0
70386,1
70387,1
70388,0
70389,1
70390,0
70391,0
70392,0
70393,0
70394,0
70395,0
70396,0
70397,0
70398,0
70399,1
70400,0
70401,0
70402,0
70403,0
70404,0
70405,0
70406,0
70407,0
70408,1
70409,0
70410,0
70411,0
70412,0
70413,0
70414,0
70415,0
70416,0
70417,0
70418,1
70419,0
70420,0
70421,0
70422,0
70423,0
70424,0
70425,0
70426,0
70427,0
70428,0
70429,0
70430,0
70431,0
70432,1
70433,0
70434,0
70435,0
70436,0
70437,1
70438,0
70439,0
70440,1
70441,0
70442,1
70443,1
70444,0
70445,1
70446,0
70447,0
70448,0
70449,1
70450,0
70451,0
70452,0
70453,1
70454,1
70455,0
70456,1
70457,0
70458,0
70459,0
70460,0
70461,1
70462,1
70463,1
70464,0
70465,0
70466,1
70467,0
70468,0
70469,1
70470,0
70471,0
70472,0
70473,0
70474,0
70475,1
70476,0
70477,0
70478,1
70479,0
70480,0
70481,0
70482,0
70483,0
70484,0
70485,0
70486,0
70487,1
70488,0
70489,0
70490,0
70491,0
70492,1
70493,1
70494,0
70495,1
70496,0
70497,1
70498,0
70499,1
70500,1
70501,0
70502,0
70503,0
70504,1
70505,0
70506,0
70507,0
70508,0
70509,0
70510,1
70511,0
70512,1
70513,0
70514,0
70515,0
70516,0
70517,0
70518,0
70519,0
70520,0
70521,0
70522,0
70523,0
70524,0
70525,0
70526,0
70527,0
70528,0
70529,0
70530,0
70531,1
70532,0
70533,1
70534,1
70535,0
70536,0
70537,0
70538,0
70539,0
70540,0
70541,0
70542,0
70543,0
70544,0
70545,0
70546,0
70547,1
70548,0
70549,0
70550,0
70551,1
70552,0
70553,0
70554,0
70555,0
70556,1
70557,1
70558,0
70559,0
70560,0
70561,0
70562,0
70563,1
70564,0
70565,0
70566,0
70567,0
70568,0
70569,1
70570,0
70571,0
70572,0
70573,1
70574,0
70575,0
70576,0
70577,0
70578,1
70579,1
70580,0
70581,0
70582,0
70583,1
70584,0
70585,1
70586,0
70587,1
70588,1
70589,0
70590,0
70591,0
70592,0
70593,0
70594,0
70595,0
70596,0
70597,0
70598,0
70599,0
70600,0
70601,0
70602,0
70603,0
70604,0
70605,0
70606,0
70607,0
70608,0
70609,1
70610,1
70611,1
70612,0
70613,0
70614,0
70615,0
70616,0
70617,0
70618,0
70619,0
70620,0
70621,0
70622,0
70623,0
70624,1
70625,0
70626,1
70627,0
70628,1
70629,0
70630,1
70631,0
70632,0
70633,0
70634,0
70635,0
70636,0
70637,0
70638,0
70639,1
70640,1
70641,0
70642,1
70643,0
70644,1
70645,0
70646,0
70647,1
70648,0
70649,1
70650,0
70651,0
70652,1
70653,1
70654,0
70655,0
70656,0
70657,0
70658,0
70659,0
70660,1
70661,0
70662,0
70663,0
70664,1
70665,0
70666,0
70667,1
70668,0
70669,1
70670,1
70671,0
70672,1
70673,0
70674,0
70675,1
70676,0
70677,0
70678,0
70679,0
70680,0
70681,0
70682,0
70683,0
70684,0
70685,0
70686,0
